I,GEN,LogL
0,0,-1642.84
1,50,-1457.92
2,100,-1410.41
3,150,-1381.89
4,200,-1373.25
5,250,-1387.26
6,300,-1378.76
7,350,-1373.69
8,400,-1363.34
9,450,-1360.46
10,500,-1358.84
11,550,-1350.33
12,600,-1346.35
13,650,-1342.5
14,700,-1340.27
15,750,-1340.65
16,800,-1304.98
17,850,-1303.52
18,900,-1301.24
19,950,-1298.29
20,1000,-1296.63
21,1050,-1290.25
22,1100,-1287.3
23,1150,-1285.8
24,1200,-1281.74
25,1250,-1281.75
26,1300,-1302.33
27,1350,-1299.12
28,1400,-1299.86
29,1450,-1298.66
30,1500,-1297.74
31,1550,-1260.5
32,1600,-1260.55
33,1650,-1260.66
34,1700,-1262.45
35,1750,-1259.72
36,1800,-1262.54
37,1850,-1263.22
38,1900,-1261.65
39,1950,-1260.45
40,2000,-1257.45
