I,GEN,LogL,virtual-a,x,Cat-0,Cat-1,Cat-2,Cat-3,Cat-4,Cat-5,Cat-6,Cat-7,virtual-t,virtual-c,virtual-g
0,0,-792.540851,6,60,0,0,0,0,0,0,0,0,24,9,9
1,100,-480.572943,15,46,0,0,0,0,0,0,0,0,26,12,7
2,200,-455.012194,15,46,0,0,0,0,0,0,0,0,26,12,7
3,300,-438.707968,15,46,0,0,0,0,0,0,0,0,19,16,6
4,400,-432.018758,15,46,0,0,0,0,0,0,0,0,19,16,6
5,500,-386.812002,10,47,0,0,0,0,0,0,0,0,13,11,8
6,600,-386.617494,10,47,0,0,0,0,0,0,0,0,13,11,8
7,700,-401.832149,8,47,0,0,0,0,0,0,0,0,26,5,8
8,800,-401.069550,8,47,0,0,0,0,0,0,0,0,26,5,8
9,900,-399.618014,10,49,0,0,0,0,0,0,0,0,23,5,6
10,1000,-399.964985,10,49,0,0,0,0,0,0,0,0,23,5,6
