I,GEN,LogL,RateCats-1,RateCats-2,RateCats-3,RateCats-4,RateCats-5,RateCats-6,RateCats-7,RateCats-8,RateCats-9,RateCats-10,RateCats,x,x-category,virtual-a,virtual-t,virtual-c,virtual-g,U
0,0,-1656.055313,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.000000,0,0.500000,0.500000,0.500000,0.500000,0.500000
1,100,-782.025910,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.035556,8,0.393333,0.393333,0.393333,0.393333,0.500000
2,200,-739.373178,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.040000,9,0.380000,0.380000,0.380000,0.380000,0.500000
3,300,-739.373108,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.040000,9,0.380000,0.380000,0.380000,0.380000,0.500000
4,400,-754.547496,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.040000,9,0.380000,0.380000,0.380000,0.380000,0.500000
5,500,-755.654659,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.035556,8,0.393333,0.393333,0.393333,0.393333,0.500000
6,600,-725.748157,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.035556,8,0.393333,0.393333,0.393333,0.393333,0.500000
7,700,-724.178202,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.040000,9,0.380000,0.380000,0.380000,0.380000,0.500000
8,800,-683.861615,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.040000,9,0.380000,0.380000,0.380000,0.380000,0.500000
9,900,-683.861579,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.040000,9,0.380000,0.380000,0.380000,0.380000,0.500000
10,1000,-700.617524,0.000000,0.004444,0.008889,0.013333,0.017778,0.022222,0.026667,0.031111,0.035556,0.040000,n/a,0.035556,8,0.393333,0.393333,0.393333,0.393333,0.500000
