I,GEN,LogL
0,0,-115795
1,10000,-112173
2,20000,-110582
3,30000,-109565
4,40000,-108865
5,50000,-108327
6,60000,-107919
7,70000,-107603
8,80000,-103290
9,90000,-103088
10,100000,-102902
11,110000,-102715
12,120000,-102574
13,130000,-102455
14,140000,-102319
15,150000,-99689.3
16,160000,-99608.9
17,170000,-99503.6
18,180000,-99418.3
19,190000,-99336.6
20,200000,-99278.2
21,210000,-99198
22,220000,-98480.2
23,230000,-98452.5
24,240000,-98404.1
25,250000,-98362.2
26,260000,-98327.9
27,270000,-98280.9
28,280000,-98265.8
29,290000,-96989.2
30,300000,-96960.5
31,310000,-96940.1
32,320000,-96919.2
33,330000,-96876
34,340000,-96874.6
35,350000,-96830.6
