I,GEN,LogL,RateVector,State,N,F,Total
0,0,-360.941,Non-functional,N,24,5,29
0,0,-360.941,Functional,F,9,36,45
1,100,-359.312,Non-functional,N,24,5,29
1,100,-359.312,Functional,F,9,36,45
2,200,-358.943,Non-functional,N,24,5,29
2,200,-358.943,Functional,F,9,36,45
3,300,-359.777,Non-functional,N,24,5,29
3,300,-359.777,Functional,F,9,36,45
4,400,-361.162,Non-functional,N,24,5,29
4,400,-361.162,Functional,F,9,36,45
5,500,-358.749,Non-functional,N,24,5,29
5,500,-358.749,Functional,F,9,36,45
6,600,-452.569,Non-functional,N,21,4,25
6,600,-452.569,Functional,F,11,45,56
7,700,-452.226,Non-functional,N,21,4,25
7,700,-452.226,Functional,F,11,45,56
8,800,-449.962,Non-functional,N,21,4,25
8,800,-449.962,Functional,F,11,45,56
9,900,-449.734,Non-functional,N,21,4,25
9,900,-449.734,Functional,F,11,45,56
10,1000,-449.411,Non-functional,N,21,4,25
10,1000,-449.411,Functional,F,11,45,56
11,1100,-383.056,Non-functional,N,16,4,20
11,1100,-383.056,Functional,F,10,46,56
12,1200,-384.374,Non-functional,N,16,4,20
12,1200,-384.374,Functional,F,10,46,56
13,1300,-384.896,Non-functional,N,16,4,20
13,1300,-384.896,Functional,F,10,46,56
14,1400,-384.734,Non-functional,N,16,4,20
14,1400,-384.734,Functional,F,10,46,56
15,1500,-385.131,Non-functional,N,16,4,20
15,1500,-385.131,Functional,F,10,46,56
16,1600,-430.913,Non-functional,N,21,7,28
16,1600,-430.913,Functional,F,8,40,48
17,1700,-431.451,Non-functional,N,21,7,28
17,1700,-431.451,Functional,F,8,40,48
18,1800,-430.126,Non-functional,N,21,7,28
18,1800,-430.126,Functional,F,8,40,48
19,1900,-429.834,Non-functional,N,21,7,28
19,1900,-429.834,Functional,F,8,40,48
20,2000,-430.037,Non-functional,N,21,7,28
20,2000,-430.037,Functional,F,8,40,48
21,2100,-343.887,Non-functional,N,16,3,19
21,2100,-343.887,Functional,F,11,36,47
22,2200,-345.524,Non-functional,N,16,3,19
22,2200,-345.524,Functional,F,11,36,47
23,2300,-344.479,Non-functional,N,16,3,19
23,2300,-344.479,Functional,F,11,36,47
24,2400,-344.36,Non-functional,N,16,3,19
24,2400,-344.36,Functional,F,11,36,47
25,2500,-344.455,Non-functional,N,16,3,19
25,2500,-344.455,Functional,F,11,36,47
26,2600,-412.118,Non-functional,N,23,3,26
26,2600,-412.118,Functional,F,11,41,52
27,2700,-412.468,Non-functional,N,23,3,26
27,2700,-412.468,Functional,F,11,41,52
28,2800,-411.585,Non-functional,N,23,3,26
28,2800,-411.585,Functional,F,11,41,52
29,2900,-411.768,Non-functional,N,23,3,26
29,2900,-411.768,Functional,F,11,41,52
30,3000,-412.347,Non-functional,N,23,3,26
30,3000,-412.347,Functional,F,11,41,52
31,3100,-427.002,Non-functional,N,27,7,34
31,3100,-427.002,Functional,F,7,35,42
32,3200,-425.674,Non-functional,N,27,7,34
32,3200,-425.674,Functional,F,7,35,42
33,3300,-426.813,Non-functional,N,27,7,34
33,3300,-426.813,Functional,F,7,35,42
34,3400,-426.298,Non-functional,N,27,7,34
34,3400,-426.298,Functional,F,7,35,42
35,3500,-425.275,Non-functional,N,27,7,34
35,3500,-425.275,Functional,F,7,35,42
36,3600,-412.824,Non-functional,N,19,1,20
36,3600,-412.824,Functional,F,13,39,52
37,3700,-412.498,Non-functional,N,19,1,20
37,3700,-412.498,Functional,F,13,39,52
38,3800,-411.656,Non-functional,N,19,1,20
