I,GEN,LogL
0,0,-16.2719
1,100,-16.4895
2,200,-16.5184
3,300,-16.0726
4,400,-16.417
5,500,-16.2742
6,600,-16.609
7,700,-16.6066
8,800,-16.7626
9,900,-16.6447
10,1000,-16.3465
11,1100,-12.0419
12,1200,-11.9038
13,1300,-11.7889
14,1400,-11.803
15,1500,-11.9859
16,1600,-15.5618
17,1700,-15.6264
18,1800,-15.5483
19,1900,-15.2907
20,2000,-15.3013
21,2100,-3.94321
22,2200,-3.94321
23,2300,-3.94321
24,2400,-3.94321
25,2500,-3.94321
26,2600,-12.1009
27,2700,-12.0054
28,2800,-11.8609
29,2900,-12.1555
30,3000,-12.1367
31,3100,-18.6513
32,3200,-18.9474
33,3300,-18.9526
34,3400,-18.9265
35,3500,-18.864
36,3600,-15.5461
37,3700,-15.4819
38,3800,-15.4895
39,3900,-15.6099
40,4000,-15.5186
41,4100,-22.6106
42,4200,-22.332
43,4300,-22.6892
44,4400,-22.6597
45,4500,-22.7221
46,4600,-15.4971
47,4700,-15.6006
48,4800,-15.566
49,4900,-15.4833
50,5000,-15.4986
51,5100,-17.2808
52,5200,-17.4485
53,5300,-17.0222
54,5400,-17.2638
55,5500,-17.2384
56,5600,-11.3647
57,5700,-11.189
58,5800,-11.1447
59,5900,-11.1926
60,6000,-11.1802
61,6100,-15.3438
62,6200,-15.4388
63,6300,-15.4544
64,6400,-15.3328
65,6500,-15.3372
66,6600,-7.3385
67,6700,-7.31448
68,6800,-7.45875
69,6900,-7.40387
70,7000,-7.41726
71,7100,-7.82175
72,7200,-7.81877
73,7300,-7.82391
74,7400,-7.85296
75,7500,-7.86993
76,7600,-14.8702
77,7700,-14.8637
78,7800,-14.9391
79,7900,-14.7028
80,8000,-14.6482
81,8100,-18.1563
82,8200,-18.2441
83,8300,-18.4615
84,8400,-18.5268
85,8500,-18.4085
86,8600,-11.2997
87,8700,-11.1316
88,8800,-11.1501
89,8900,-11.1099
90,9000,-11.2584
91,9100,-11.7809
92,9200,-11.8065
93,9300,-11.7218
94,9400,-11.6754
95,9500,-11.7201
96,9600,-18.0628
97,9700,-18.0966
98,9800,-18.3219
99,9900,-18.037
100,10000,-18.1956
101,10100,-22.38
102,10200,-22.5688
103,10300,-22.6347
104,10400,-22.804
105,10500,-22.78
106,10600,-22.6327
107,10700,-22.8585
108,10800,-22.9349
109,10900,-22.3995
110,11000,-22.3588
111,11100,-17.9229
112,11200,-18.2165
113,11300,-18.3234
114,11400,-18.6253
115,11500,-18.2574
116,11600,-7.3706
117,11700,-7.36315
118,11800,-7.42378
119,11900,-7.43409
120,12000,-7.36938
121,12100,-33.7906
122,12200,-34.4128
123,12300,-34.3619
124,12400,-33.9677
125,12500,-33.7506
126,12600,-11.6689
127,12700,-11.6833
128,12800,-11.6273
129,12900,-11.7344
130,13000,-11.6646
131,13100,-7.28671
132,13200,-7.25517
133,13300,-7.24507
134,13400,-7.23542
135,13500,-7.2271
136,13600,-7.40185
137,13700,-7.41584
138,13800,-7.51825
139,13900,-7.55918
140,14000,-7.44016
141,14100,-7.53684
142,14200,-7.56766
143,14300,-7.51523
144,14400,-7.40584
145,14500,-15.043
146,14600,-15.05
147,14700,-14.9767
148,14800,-14.9483
149,14900,-14.9172
150,15000,-30.1146
151,15100,-30.033
152,15200,-29.837
153,15300,-29.8191
154,15400,-29.8515
155,15500,-11.4904
156,15600,-11.4704
157,15700,-11.673
158,15800,-11.5877
159,15900,-11.4558
160,16000,-3.94321
161,16100,-3.94321
162,16200,-3.94321
163,16300,-3.94321
164,16400,-3.94321
165,16500,-14.5806
166,16600,-14.7604
167,16700,-14.8696
168,16800,-14.9419
169,16900,-15.0567
170,17000,-26.7171
171,17100,-26.5807
172,17200,-26.6558
173,17300,-26.4325
174,17400,-26.7477
175,17500,-7.74514
176,17600,-7.70424
177,17700,-7.65684
178,17800,-7.6821
179,17900,-7.67162
180,18000,-18.6568
181,18100,-18.8686
182,18200,-18.6752
183,18300,-18.7467
184,18400,-18.7245
185,18500,-11.6703
186,18600,-11.6349
187,18700,-11.4674
188,18800,-11.5383
189,18900,-11.6023
190,19000,-11.114
191,19100,-11.027
192,19200,-10.9915
193,19300,-11.0369
194,19400,-10.9823
195,19500,-22.3513
196,19600,-22.6497
197,19700,-22.9308
198,19800,-22.9373
199,19900,-22.65
200,20000,-18.1514
