I,GEN,LogL,N_freq,F_freq,fixed_one,NN,NtoF,FtoN,FF,U
0,0,-360.940693,0,0,0,24,5,9,36,0
1,100,-359.311836,0,0,0,24,5,9,36,0
2,200,-358.943091,0,0,0,24,5,9,36,0
3,300,-359.776512,0,0,0,24,5,9,36,0
4,400,-361.161502,0,0,0,24,5,9,36,0
5,500,-358.749164,0,0,0,24,5,9,36,0
6,600,-452.569014,0,0,0,21,4,11,45,0
7,700,-452.226103,0,0,0,21,4,11,45,0
8,800,-449.962436,0,0,0,21,4,11,45,0
9,900,-449.734390,0,0,0,21,4,11,45,0
10,1000,-449.410515,0,0,0,21,4,11,45,0
11,1100,-383.056031,0,0,0,16,4,10,46,0
12,1200,-384.374450,0,0,0,16,4,10,46,0
13,1300,-384.896098,0,0,0,16,4,10,46,0
14,1400,-384.734405,0,0,0,16,4,10,46,0
15,1500,-385.131040,0,0,0,16,4,10,46,0
16,1600,-430.913289,0,0,0,21,7,8,40,0
17,1700,-431.451009,0,0,0,21,7,8,40,0
18,1800,-430.126426,0,0,0,21,7,8,40,0
19,1900,-429.834445,0,0,0,21,7,8,40,0
20,2000,-430.036946,0,0,0,21,7,8,40,0
21,2100,-343.887323,0,0,0,16,3,11,36,0
22,2200,-345.523617,0,0,0,16,3,11,36,0
23,2300,-344.478970,0,0,0,16,3,11,36,0
24,2400,-344.359921,0,0,0,16,3,11,36,0
25,2500,-344.455109,0,0,0,16,3,11,36,0
26,2600,-412.118319,0,0,0,23,3,11,41,0
27,2700,-412.468400,0,0,0,23,3,11,41,0
28,2800,-411.584590,0,0,0,23,3,11,41,0
29,2900,-411.768114,0,0,0,23,3,11,41,0
30,3000,-412.346612,0,0,0,23,3,11,41,0
31,3100,-427.001750,0,0,0,27,7,7,35,0
32,3200,-425.673501,0,0,0,27,7,7,35,0
33,3300,-426.813254,0,0,0,27,7,7,35,0
34,3400,-426.298428,0,0,0,27,7,7,35,0
35,3500,-425.275371,0,0,0,27,7,7,35,0
36,3600,-412.823924,0,0,0,19,1,13,39,0
37,3700,-412.497685,0,0,0,19,1,13,39,0
38,3800,-411.655793,0,0,0,19,1,13,39,0
39,3900,-412.601396,0,0,0,19,1,13,39,0
40,4000,-413.651197,0,0,0,19,1,13,39,0
41,4100,-446.139598,0,0,0,34,5,9,39,0
42,4200,-448.051553,0,0,0,34,5,9,39,0
43,4300,-448.079341,0,0,0,34,5,9,39,0
44,4400,-446.238230,0,0,0,34,5,9,39,0
45,4500,-446.074634,0,0,0,34,5,9,39,0
46,4600,-437.540480,0,0,0,20,3,11,45,0
47,4700,-437.146199,0,0,0,20,3,11,45,0
48,4800,-437.071982,0,0,0,20,3,11,45,0
49,4900,-437.255072,0,0,0,20,3,11,45,0
50,5000,-437.564598,0,0,0,20,3,11,45,0
51,5100,-422.613266,0,0,0,24,1,13,43,0
52,5200,-423.730330,0,0,0,24,1,13,43,0
53,5300,-422.169089,0,0,0,24,1,13,43,0
54,5400,-422.371090,0,0,0,24,1,13,43,0
55,5500,-422.555876,0,0,0,24,1,13,43,0
56,5600,-328.003575,0,0,0,23,2,12,31,0
57,5700,-327.900488,0,0,0,23,2,12,31,0
58,5800,-327.504896,0,0,0,23,2,12,31,0
59,5900,-329.314442,0,0,0,23,2,12,31,0
60,6000,-331.796702,0,0,0,23,2,12,31,0
61,6100,-419.811827,0,0,0,28,6,8,44,0
62,6200,-420.193855,0,0,0,28,6,8,44,0
63,6300,-420.325141,0,0,0,28,6,8,44,0
64,6400,-420.205074,0,0,0,28,6,8,44,0
65,6500,-420.578088,0,0,0,28,6,8,44,0
66,6600,-416.724689,0,0,0,22,6,8,43,0
67,6700,-417.184558,0,0,0,22,6,8,43,0
68,6800,-416.210930,0,0,0,22,6,8,43,0
69,6900,-417.403005,0,0,0,22,6,8,43,0
70,7000,-416.413306,0,0,0,22,6,8,43,0
71,7100,-385.291785,0,0,0,20,6,8,42,0
72,7200,-386.165872,0,0,0,20,6,8,42,0
73,7300,-385.802055,0,0,0,20,6,8,42,0
74,7400,-384.654112,0,0,0,20,6,8,42,0
75,7500,-385.367333,0,0,0,20,6,8,42,0
76,7600,-428.840065,0,0,0,25,7,7,37,0
77,7700,-428.381985,0,0,0,25,7,7,37,0
78,7800,-426.504054,0,0,0,25,7,7,37,0
79,7900,-426.645408,0,0,0,25,7,7,37,0
80,8000,-426.653490,0,0,0,25,7,7,37,0
81,8100,-363.539026,0,0,0,22,4,10,41,0
82,8200,-364.994743,0,0,0,22,4,10,41,0
83,8300,-364.547228,0,0,0,22,4,10,41,0
84,8400,-363.453826,0,0,0,22,4,10,41,0
85,8500,-363.157059,0,0,0,22,4,10,41,0
86,8600,-448.707036,0,0,0,17,5,10,43,0
87,8700,-448.188322,0,0,0,17,5,10,43,0
88,8800,-448.275817,0,0,0,17,5,10,43,0
89,8900,-447.842794,0,0,0,17,5,10,43,0
90,9000,-447.673006,0,0,0,17,5,10,43,0
91,9100,-399.322170,0,0,0,17,5,12,34,0
92,9200,-400.051843,0,0,0,17,5,12,34,0
93,9300,-399.691355,0,0,0,17,5,12,34,0
94,9400,-400.488488,0,0,0,17,5,12,34,0
95,9500,-401.524362,0,0,0,17,5,12,34,0
96,9600,-397.192402,0,0,0,19,0,14,48,0
97,9700,-397.564017,0,0,0,19,0,14,48,0
98,9800,-398.757260,0,0,0,19,0,14,48,0
99,9900,-398.204927,0,0,0,19,0,14,48,0
100,10000,-397.658111,0,0,0,19,0,14,48,0
101,10100,-428.945061,0,0,0,17,0,14,52,0
102,10200,-427.958683,0,0,0,17,0,14,52,0
103,10300,-427.258530,0,0,0,17,0,14,52,0
104,10400,-427.334924,0,0,0,17,0,14,52,0
105,10500,-428.304218,0,0,0,17,0,14,52,0
106,10600,-333.041262,0,0,0,13,0,14,37,0
107,10700,-333.300122,0,0,0,13,0,14,37,0
108,10800,-333.472835,0,0,0,13,0,14,37,0
109,10900,-332.687048,0,0,0,13,0,14,37,0
110,11000,-332.571177,0,0,0,13,0,14,37,0
111,11100,-384.604175,0,0,0,19,0,15,44,0
112,11200,-385.381603,0,0,0,19,0,15,44,0
113,11300,-384.682798,0,0,0,19,0,15,44,0
114,11400,-385.431616,0,0,0,19,0,15,44,0
115,11500,-384.738695,0,0,0,19,0,15,44,0
116,11600,-385.930437,0,0,0,17,0,14,41,0
117,11700,-386.288753,0,0,0,17,0,14,41,0
118,11800,-386.078905,0,0,0,17,0,14,41,0
119,11900,-387.371505,0,0,0,17,0,14,41,0
120,12000,-386.522311,0,0,0,17,0,14,41,0
121,12100,-446.420194,0,0,0,15,0,14,47,0
122,12200,-446.967167,0,0,0,15,0,14,47,0
123,12300,-447.024464,0,0,0,15,0,14,47,0
124,12400,-447.417810,0,0,0,15,0,14,47,0
125,12500,-447.085009,0,0,0,15,0,14,47,0
126,12600,-405.317838,0,0,0,20,3,11,42,0
127,12700,-405.370516,0,0,0,20,3,11,42,0
128,12800,-405.233551,0,0,0,20,3,11,42,0
129,12900,-406.964702,0,0,0,20,3,11,42,0
130,13000,-406.190044,0,0,0,20,3,11,42,0
131,13100,-468.511621,0,0,0,17,1,13,44,0
132,13200,-468.341839,0,0,0,17,1,13,44,0
133,13300,-469.805680,0,0,0,17,1,13,44,0
134,13400,-469.767873,0,0,0,17,1,13,44,0
135,13500,-470.107401,0,0,0,17,1,13,44,0
136,13600,-461.782718,0,0,0,20,2,12,51,0
137,13700,-461.758099,0,0,0,20,2,12,51,0
138,13800,-462.161489,0,0,0,20,2,12,51,0
139,13900,-462.139396,0,0,0,20,2,12,51,0
140,14000,-461.156123,0,0,0,20,2,12,51,0
141,14100,-392.007223,0,0,0,22,1,13,37,0
142,14200,-392.671771,0,0,0,22,1,13,37,0
143,14300,-392.327855,0,0,0,22,1,13,37,0
144,14400,-392.913593,0,0,0,22,1,13,37,0
145,14500,-393.071624,0,0,0,22,1,13,37,0
146,14600,-447.180381,0,0,0,28,6,9,38,0
147,14700,-447.185789,0,0,0,28,6,9,38,0
148,14800,-447.582191,0,0,0,28,6,9,38,0
149,14900,-448.211842,0,0,0,28,6,9,38,0
150,15000,-448.096715,0,0,0,28,6,9,38,0
151,15100,-365.285189,0,0,0,23,7,7,40,0
152,15200,-366.076464,0,0,0,23,7,7,40,0
153,15300,-366.366132,0,0,0,23,7,7,40,0
154,15400,-365.865746,0,0,0,23,7,7,40,0
155,15500,-365.249197,0,0,0,23,7,7,40,0
156,15600,-362.642571,0,0,0,18,5,9,39,0
157,15700,-362.254525,0,0,0,18,5,9,39,0
158,15800,-362.503224,0,0,0,18,5,9,39,0
159,15900,-362.318388,0,0,0,18,5,9,39,0
160,16000,-362.239041,0,0,0,18,5,9,39,0
161,16100,-335.401627,0,0,0,19,4,10,30,0
162,16200,-336.162899,0,0,0,19,4,10,30,0
163,16300,-336.220191,0,0,0,19,4,10,30,0
164,16400,-338.454065,0,0,0,19,4,10,30,0
165,16500,-336.321961,0,0,0,19,4,10,30,0
166,16600,-449.977107,0,0,0,15,4,10,47,0
167,16700,-450.151095,0,0,0,15,4,10,47,0
168,16800,-452.438283,0,0,0,15,4,10,47,0
169,16900,-450.395762,0,0,0,15,4,10,47,0
170,17000,-450.909631,0,0,0,15,4,10,47,0
171,17100,-419.015359,0,0,0,25,5,9,34,0
172,17200,-417.899623,0,0,0,25,5,9,34,0
173,17300,-416.579757,0,0,0,25,5,9,34,0
174,17400,-416.472126,0,0,0,25,5,9,34,0
175,17500,-416.430307,0,0,0,25,5,9,34,0
176,17600,-481.055946,0,0,0,23,2,12,47,0
177,17700,-482.102323,0,0,0,23,2,12,47,0
178,17800,-481.124773,0,0,0,23,2,12,47,0
179,17900,-480.828473,0,0,0,23,2,12,47,0
180,18000,-479.928504,0,0,0,23,2,12,47,0
181,18100,-399.340730,0,0,0,16,3,11,44,0
182,18200,-397.163722,0,0,0,16,3,11,44,0
183,18300,-398.148287,0,0,0,16,3,11,44,0
184,18400,-399.163394,0,0,0,16,3,11,44,0
185,18500,-398.673039,0,0,0,16,3,11,44,0
186,18600,-396.054570,0,0,0,14,2,12,46,0
187,18700,-395.493274,0,0,0,14,2,12,46,0
188,18800,-395.342438,0,0,0,14,2,12,46,0
189,18900,-394.779808,0,0,0,14,2,12,46,0
190,19000,-395.347346,0,0,0,14,2,12,46,0
191,19100,-388.160205,0,0,0,22,1,13,42,0
192,19200,-387.507095,0,0,0,22,1,13,42,0
193,19300,-387.466224,0,0,0,22,1,13,42,0
194,19400,-387.875716,0,0,0,22,1,13,42,0
195,19500,-386.830456,0,0,0,22,1,13,42,0
196,19600,-410.560461,0,0,0,18,3,11,39,0
197,19700,-410.480028,0,0,0,18,3,11,39,0
198,19800,-409.989199,0,0,0,18,3,11,39,0
199,19900,-411.785469,0,0,0,18,3,11,39,0
200,20000,-413.021885,0,0,0,18,3,11,39,0
