I,GEN,LogL,N_freq,F_freq,fixed_one,NN,NtoF,FtoN,FF,U
0,0,-29.629569,0.200000,0.200000,0.010000,0.290000,0.210000,0.210000,0.290000,0.500000
1,100,-29.833797,0.220200,0.209705,0.010000,0.269800,0.230200,0.219705,0.280295,0.500000
2,200,-29.975475,0.200795,0.216246,0.010000,0.289205,0.210795,0.226246,0.273754,0.500000
3,300,-30.189367,0.189673,0.225833,0.010000,0.300327,0.199673,0.235833,0.264167,0.500000
4,400,-30.420622,0.196178,0.235821,0.010000,0.293822,0.206178,0.245821,0.254179,0.500000
5,500,-30.505611,0.195048,0.239396,0.010000,0.294952,0.205048,0.249396,0.250604,0.500000
6,600,-31.299331,0.188710,0.259359,0.010000,0.301290,0.198710,0.269359,0.230641,0.500000
7,700,-31.392717,0.169535,0.262921,0.010000,0.320465,0.179535,0.272921,0.227079,0.500000
8,800,-31.518530,0.166599,0.267633,0.010000,0.323401,0.176599,0.277633,0.222367,0.500000
9,900,-30.619424,0.204155,0.231685,0.010000,0.285845,0.214155,0.241685,0.258315,0.500000
10,1000,-31.398876,0.200140,0.263154,0.010000,0.289860,0.210140,0.273154,0.226846,0.500000
11,1100,-22.972862,0.166654,0.283531,0.010000,0.323346,0.176654,0.293531,0.206469,0.500000
12,1200,-22.494464,0.140098,0.257300,0.010000,0.349902,0.150098,0.267300,0.232700,0.500000
13,1300,-22.059054,0.172487,0.230540,0.010000,0.317513,0.182487,0.240540,0.259460,0.500000
14,1400,-22.212391,0.164354,0.240298,0.010000,0.325646,0.174354,0.250298,0.249702,0.500000
15,1500,-22.542592,0.161048,0.260083,0.010000,0.328952,0.171048,0.270083,0.229917,0.500000
16,1600,-22.708116,0.165716,0.247075,0.010000,0.324284,0.175716,0.257075,0.242925,0.500000
17,1700,-22.898993,0.135926,0.258395,0.010000,0.354074,0.145926,0.268395,0.231605,0.500000
18,1800,-23.163375,0.137178,0.273208,0.010000,0.352822,0.147178,0.283208,0.216792,0.500000
19,1900,-23.346976,0.149059,0.282934,0.010000,0.340941,0.159059,0.292934,0.207066,0.500000
20,2000,-22.836786,0.154199,0.254765,0.010000,0.335801,0.164199,0.264765,0.235235,0.500000
21,2100,-9.344069,0.144857,0.254414,0.010000,0.345143,0.154857,0.264414,0.235586,0.500000
22,2200,-9.315956,0.130910,0.247697,0.010000,0.359090,0.140910,0.257697,0.242303,0.500000
23,2300,-9.394204,0.137770,0.265934,0.010000,0.352230,0.147770,0.275934,0.224066,0.500000
24,2400,-9.395178,0.145414,0.266152,0.010000,0.344586,0.155414,0.276152,0.223848,0.500000
25,2500,-9.289869,0.144840,0.241293,0.010000,0.345160,0.154840,0.251293,0.248707,0.500000
26,2600,-5.125801,0.153033,0.234702,0.010000,0.336967,0.163033,0.244702,0.255298,0.500000
27,2700,-5.125801,0.138654,0.252954,0.010000,0.351346,0.148654,0.262954,0.237046,0.500000
28,2800,-5.125801,0.147577,0.263241,0.010000,0.342423,0.157577,0.273241,0.226759,0.500000
29,2900,-5.125801,0.150570,0.262866,0.010000,0.339430,0.160570,0.272866,0.227134,0.500000
30,3000,-5.125801,0.135030,0.281717,0.010000,0.354970,0.145030,0.291717,0.208283,0.500000
31,3100,-17.752508,0.104629,0.266219,0.010000,0.385371,0.114629,0.276219,0.223781,0.500000
32,3200,-17.763225,0.109684,0.267017,0.010000,0.380316,0.119684,0.277017,0.222983,0.500000
