I,GEN,LogL,Ancestral,Decendant,Substitutions
0,0,-1683.32,BNode0,BNode1,[ D2O D4O O9D D10O D16O D18O O19D ]
0,0,-1683.32,BNode1,BNode2,[ O2D O15D ]
0,0,-1683.32,BNode2,Node0,[ O1D O3D D6O O7D O16D ]
0,0,-1683.32,Node0,taxaB,[ ]
0,0,-1683.32,BNode2,Node1,[ D9O O10D O13D D14O D19O ]
0,0,-1683.32,Node1,BNode3,[ ]
0,0,-1683.32,BNode3,Node2,[ D2O D6O D10O D11O D13O D15O ]
0,0,-1683.32,Node2,taxaA,[ ]
0,0,-1683.32,BNode3,taxaC,[ O4D O8D O17D ]
0,0,-1683.32,BNode1,taxaE,[ O1D D11O D14O O17D O18D D19O ]
0,0,-1683.32,BNode0,Node3,[ O8D D11O O12D ]
0,0,-1683.32,Node3,Node4,[ ]
0,0,-1683.32,Node4,Node5,[ ]
0,0,-1683.32,Node5,taxaD,[ ]
1,100,-1562.75,BNode0,BNode1,[ D2O D4O O9D D10O D16O D18O O19D ]
1,100,-1562.75,BNode1,BNode2,[ O2D O15D ]
1,100,-1562.75,BNode2,Node0,[ O1D O3D D6O O7D O16D ]
1,100,-1562.75,Node0,taxaB,[ ]
1,100,-1562.75,BNode2,Node1,[ D9O O10D O13D D14O D19O ]
1,100,-1562.75,Node1,BNode3,[ ]
1,100,-1562.75,BNode3,Node2,[ D2O D6O D10O D11O D13O D15O ]
1,100,-1562.75,Node2,taxaA,[ ]
1,100,-1562.75,BNode3,taxaC,[ O4D O8D O17D ]
1,100,-1562.75,BNode1,taxaE,[ O1D D11O D14O O17D O18D D19O ]
1,100,-1562.75,BNode0,Node3,[ O8D D11O O12D ]
1,100,-1562.75,Node3,Node4,[ ]
1,100,-1562.75,Node4,Node5,[ ]
1,100,-1562.75,Node5,taxaD,[ ]
2,200,-1516.95,BNode0,BNode1,[ D2O D4O O9D D10O D16O D18O O19D ]
2,200,-1516.95,BNode1,BNode2,[ O2D O15D ]
2,200,-1516.95,BNode2,Node0,[ O1D O3D D6O O7D O16D ]
2,200,-1516.95,Node0,taxaB,[ ]
2,200,-1516.95,BNode2,Node1,[ D9O O10D O13D D14O D19O ]
2,200,-1516.95,Node1,BNode3,[ ]
2,200,-1516.95,BNode3,Node2,[ D2O D6O D10O D11O D13O D15O ]
2,200,-1516.95,Node2,taxaA,[ ]
2,200,-1516.95,BNode3,taxaC,[ O4D O8D O17D ]
2,200,-1516.95,BNode1,taxaE,[ O1D D11O D14O O17D O18D D19O ]
2,200,-1516.95,BNode0,Node3,[ O8D D11O O12D ]
2,200,-1516.95,Node3,Node4,[ ]
2,200,-1516.95,Node4,Node5,[ ]
2,200,-1516.95,Node5,taxaD,[ ]
3,300,-1455.49,BNode0,BNode1,[ O1D D8O D16O ]
3,300,-1455.49,BNode1,BNode2,[ O11D O15D O19D ]
3,300,-1455.49,BNode2,Node0,[ O14D O16D D17O D18O ]
3,300,-1455.49,Node0,taxaB,[ O3D D6O O7D ]
3,300,-1455.49,BNode2,Node1,[ D18O ]
3,300,-1455.49,Node1,BNode3,[ O0D D1O O4D O8D D9O O10D O13D D19O ]
3,300,-1455.49,BNode3,Node2,[ D0O D4O D13O ]
3,300,-1455.49,Node2,taxaA,[ O4D O13D ]
3,300,-1455.49,BNode3,taxaC,[ ]
3,300,-1455.49,BNode1,taxaE,[ D2O ]
3,300,-1455.49,BNode0,Node3,[ D9O O10D O14D D16O D17O ]
3,300,-1455.49,Node3,Node4,[ O4D O12D O16D ]
3,300,-1455.49,Node4,Node5,[ ]
3,300,-1455.49,Node5,taxaD,[ ]
4,400,-1435.75,BNode0,BNode1,[ O1D D8O D16O ]
4,400,-1435.75,BNode1,BNode2,[ O11D O15D O19D ]
4,400,-1435.75,BNode2,Node0,[ O14D O16D D17O D18O ]
4,400,-1435.75,Node0,taxaB,[ O3D D6O O7D ]
4,400,-1435.75,BNode2,Node1,[ D18O ]
4,400,-1435.75,Node1,BNode3,[ O0D D1O O4D O8D D9O O10D O13D D19O ]
4,400,-1435.75,BNode3,Node2,[ D0O D4O D13O ]
4,400,-1435.75,Node2,taxaA,[ O4D O13D ]
4,400,-1435.75,BNode3,taxaC,[ ]
4,400,-1435.75,BNode1,taxaE,[ D2O ]
4,400,-1435.75,BNode0,Node3,[ D9O O10D O14D D16O D17O ]
4,400,-1435.75,Node3,Node4,[ O4D O12D O16D ]
4,400,-1435.75,Node4,Node5,[ ]
4,400,-1435.75,Node5,taxaD,[ ]
5,500,-1424.11,BNode0,BNode1,[ O1D D8O D16O ]
5,500,-1424.11,BNode1,BNode2,[ O11D O15D O19D ]
5,500,-1424.11,BNode2,Node0,[ O14D O16D D17O D18O ]
5,500,-1424.11,Node0,taxaB,[ O3D D6O O7D ]
5,500,-1424.11,BNode2,Node1,[ D18O ]
5,500,-1424.11,Node1,BNode3,[ O0D D1O O4D O8D D9O O10D O13D D19O ]
5,500,-1424.11,BNode3,Node2,[ D0O D4O D13O ]
5,500,-1424.11,Node2,taxaA,[ O4D O13D ]
5,500,-1424.11,BNode3,taxaC,[ ]
5,500,-1424.11,BNode1,taxaE,[ D2O ]
5,500,-1424.11,BNode0,Node3,[ D9O O10D O14D D16O D17O ]
5,500,-1424.11,Node3,Node4,[ O4D O12D O16D ]
5,500,-1424.11,Node4,Node5,[ ]
5,500,-1424.11,Node5,taxaD,[ ]
6,600,-1454.04,BNode0,BNode1,[ D3O D9O D14O D15O ]
6,600,-1454.04,BNode1,BNode2,[ O0D O9D O11D O15D D18O ]
6,600,-1454.04,BNode2,Node0,[ O19D ]
6,600,-1454.04,Node0,taxaB,[ O3D D6O O7D O14D O16D D17O ]
6,600,-1454.04,BNode2,Node1,[ D0O O10D O19D ]
6,600,-1454.04,Node1,BNode3,[ O0D D1O O4D O8D D9O ]
6,600,-1454.04,BNode3,Node2,[ O1D O13D D19O ]
6,600,-1454.04,Node2,taxaA,[ D0O D1O D10O O19D ]
6,600,-1454.04,BNode3,taxaC,[ O13D ]
6,600,-1454.04,BNode1,taxaE,[ D2O O9D ]
6,600,-1454.04,BNode0,Node3,[ D1O D3O O4D D9O O12D D15O O16D D17O ]
6,600,-1454.04,Node3,Node4,[ O8D O10D ]
6,600,-1454.04,Node4,Node5,[ ]
6,600,-1454.04,Node5,taxaD,[ ]
7,700,-1443.72,BNode0,BNode1,[ D3O D9O D14O D15O ]
7,700,-1443.72,BNode1,BNode2,[ O0D O9D O11D O15D D18O ]
7,700,-1443.72,BNode2,Node0,[ O19D ]
7,700,-1443.72,Node0,taxaB,[ O3D D6O O7D O14D O16D D17O ]
7,700,-1443.72,BNode2,Node1,[ D0O O10D O19D ]
7,700,-1443.72,Node1,BNode3,[ O0D D1O O4D O8D D9O ]
7,700,-1443.72,BNode3,Node2,[ O1D O13D D19O ]
7,700,-1443.72,Node2,taxaA,[ D0O D1O D10O O19D ]
7,700,-1443.72,BNode3,taxaC,[ O13D ]
7,700,-1443.72,BNode1,taxaE,[ D2O O9D ]
7,700,-1443.72,BNode0,Node3,[ D1O D3O O4D D9O O12D D15O O16D D17O ]
7,700,-1443.72,Node3,Node4,[ O8D O10D ]
7,700,-1443.72,Node4,Node5,[ ]
7,700,-1443.72,Node5,taxaD,[ ]
8,800,-1452.82,BNode0,BNode1,[ O0D D2O O9D D16O D19O ]
8,800,-1452.82,BNode1,BNode2,[ O2D O11D O15D D18O O19D ]
8,800,-1452.82,BNode2,Node0,[ O7D O16D D17O ]
8,800,-1452.82,Node0,taxaB,[ O3D D6O O14D ]
8,800,-1452.82,BNode2,Node1,[ O13D D19O ]
8,800,-1452.82,Node1,BNode3,[ D0O D1O O4D O10D D13O ]
8,800,-1452.82,BNode3,Node2,[ O0D O1D O8D D9O O13D O19D ]
8,800,-1452.82,Node2,taxaA,[ D1O D19O ]
8,800,-1452.82,BNode3,taxaC,[ O8D D9O O13D ]
8,800,-1452.82,BNode1,taxaE,[ ]
8,800,-1452.82,BNode0,Node3,[ D1O O4D O8D O10D O12D O14D D17O D19O ]
8,800,-1452.82,Node3,Node4,[ ]
8,800,-1452.82,Node4,Node5,[ ]
8,800,-1452.82,Node5,taxaD,[ ]
9,900,-1447.26,BNode0,BNode1,[ O0D D2O O9D D16O D19O ]
9,900,-1447.26,BNode1,BNode2,[ O2D O11D O15D D18O O19D ]
9,900,-1447.26,BNode2,Node0,[ O7D O16D D17O ]
9,900,-1447.26,Node0,taxaB,[ O3D D6O O14D ]
9,900,-1447.26,BNode2,Node1,[ O13D D19O ]
9,900,-1447.26,Node1,BNode3,[ D0O D1O O4D O10D D13O ]
9,900,-1447.26,BNode3,Node2,[ O0D O1D O8D D9O O13D O19D ]
9,900,-1447.26,Node2,taxaA,[ D1O D19O ]
9,900,-1447.26,BNode3,taxaC,[ O8D D9O O13D ]
9,900,-1447.26,BNode1,taxaE,[ ]
9,900,-1447.26,BNode0,Node3,[ D1O O4D O8D O10D O12D O14D D17O D19O ]
9,900,-1447.26,Node3,Node4,[ ]
9,900,-1447.26,Node4,Node5,[ ]
9,900,-1447.26,Node5,taxaD,[ ]
10,1000,-1441.46,BNode0,BNode1,[ O0D D2O O9D D16O D19O ]
